# Reference      : Molina and Molina, JGR, vol. 91, pp 14501-14508, 1986 
# Comments       : Table 1 in Molina and Molina (1986), got this from
# Comments       : Tapani Koskela, FMI, Finland, thanks.
#lambda	226K	263K	298K
#
746.0   0.0411    0.0411   0.0411   
747.0   0.0402    0.0402   0.0402   
748.0   0.0393    0.0393   0.0393   
749.0   0.0384    0.0384   0.0384   
750.0   0.0375    0.0375   0.0375   
751.0   0.0365    0.0365   0.0365   
752.0   0.0355    0.0355   0.0355   
753.0   0.0345    0.0345   0.0345   
754.0   0.0335    0.0335   0.0335   
755.0   0.0325    0.0325   0.0325   
756.0   0.0318    0.0318   0.0318   
757.0   0.0312    0.0312   0.0312   
758.0   0.0305    0.0305   0.0305   
759.0   0.0299    0.0299   0.0299   
760.0   0.0292    0.0292   0.0292   
761.0   0.0289    0.0289   0.0289   
762.0   0.0286    0.0286   0.0286   
763.0   0.0282    0.0282   0.0282   
764.0   0.0279    0.0279   0.0279   
765.0   0.0276    0.0276   0.0276   
766.0   0.0275    0.0275   0.0275   
767.0   0.0274    0.0274   0.0274   
768.0   0.0272    0.0272   0.0272   
769.0   0.0271    0.0271   0.0271   
770.0   0.0270    0.0270   0.0270   
771.0   0.0272    0.0272   0.0272   
772.0   0.0274    0.0274   0.0274   
773.0   0.0276    0.0276   0.0276   
774.0   0.0278    0.0278   0.0278   
775.0   0.0280    0.0280   0.0280   
776.0   0.0281    0.0281   0.0281   
777.0   0.0282    0.0282   0.0282   
778.0   0.0283    0.0283   0.0283   
779.0   0.0284    0.0284   0.0284   
780.0   0.0285    0.0285   0.0285   
781.0   0.0278    0.0278   0.0278   
782.0   0.0272    0.0272   0.0272   
783.0   0.0265    0.0265   0.0265   
784.0   0.0259    0.0259   0.0259   
785.0   0.0252    0.0252   0.0252   
786.0   0.0246    0.0246   0.0246   
787.0   0.0239    0.0239   0.0239   
788.0   0.0233    0.0233   0.0233   
789.0   0.0226    0.0226   0.0226   
790.0   0.0220    0.0220   0.0220   
791.0   0.0212    0.0212   0.0212   
792.0   0.0205    0.0205   0.0205   
793.0   0.0197    0.0197   0.0197   
794.0   0.0190    0.0190   0.0190   
795.0   0.0182    0.0182   0.0182   
796.0   0.0178    0.0178   0.0178   
797.0   0.0174    0.0174   0.0174   
798.0   0.0171    0.0171   0.0171   
799.0   0.0167    0.0167   0.0167   
800.0   0.0163    0.0163   0.0163   
801.0   0.0165    0.0165   0.0165   
802.0   0.0168    0.0168   0.0168   
803.0   0.0170    0.0170   0.0170   
804.0   0.0173    0.0173   0.0173   
805.0   0.0175    0.0175   0.0175   
806.0   0.0178    0.0178   0.0178   
807.0   0.0181    0.0181   0.0181   
