# Wahner etal, J.Phys.Chem.91, 2734(1987)
#
#           cross section (cm^2) at T(K)
#lambda   204       296       378
# nm  		            
303.80  8.603e-19 8.801e-19 1.224e-18
304.02  9.229e-19 8.790e-19 1.225e-18
304.23  1.010e-18 9.095e-19 1.246e-18
304.45  1.185e-18 9.519e-19 1.281e-18
304.67  1.630e-18 1.082e-18 1.425e-18
304.88  2.635e-18 1.437e-18 1.802e-18
305.10  3.468e-18 2.167e-18 2.278e-18
305.32  3.697e-18 2.689e-18 2.544e-18
305.54  3.839e-18 2.951e-18 2.761e-18
305.75  3.812e-18 3.133e-18 2.896e-18
305.97  3.436e-18 3.202e-18 2.887e-18
306.19  2.908e-18 2.976e-18 2.719e-18
306.41  2.520e-18 2.665e-18 2.554e-18
306.62  2.274e-18 2.410e-18 2.408e-18
306.84  2.045e-18 2.217e-18 2.277e-18
307.06  1.797e-18 2.022e-18 2.136e-18
307.28  1.601e-18 1.837e-18 2.023e-18
307.49  1.447e-18 1.689e-18 1.925e-18
307.71  1.320e-18 1.567e-18 1.837e-18
307.93  1.168e-18 1.444e-18 1.741e-18
308.15  1.050e-18 1.326e-18 1.657e-18
308.36  9.660e-19 1.208e-18 1.558e-18
308.58  8.912e-19 1.105e-18 1.481e-18
308.80  8.427e-19 1.028e-18 1.407e-18
309.02  8.339e-19 9.502e-19 1.365e-18
309.23  8.268e-19 9.115e-19 1.327e-18
309.45  8.463e-19 9.021e-19 1.297e-18
309.67  9.278e-19 9.033e-19 1.303e-18
309.88  1.140e-18 9.434e-19 1.334e-18
310.10  1.482e-18 1.075e-18 1.437e-18
310.32  2.253e-18 1.304e-18 1.683e-18
310.54  4.237e-18 1.962e-18 2.407e-18
310.75  5.610e-18 3.392e-18 3.292e-18
310.97  5.429e-18 4.204e-18 3.589e-18
311.19  5.246e-18 4.267e-18 3.722e-18
311.41  5.241e-18 4.394e-18 3.893e-18
311.62  4.568e-18 4.423e-18 3.830e-18
311.84  3.657e-18 4.011e-18 3.515e-18
312.06  2.987e-18 3.446e-18 3.181e-18
312.28  2.585e-18 2.996e-18 2.919e-18
312.49  2.246e-18 2.650e-18 2.696e-18
312.71  1.963e-18 2.365e-18 2.495e-18
312.93  1.769e-18 2.142e-18 2.377e-18
313.15  1.602e-18 2.007e-18 2.298e-18
313.36  1.421e-18 1.854e-18 2.154e-18
313.58  1.270e-18 1.684e-18 2.036e-18
313.80  1.145e-18 1.549e-18 1.944e-18
314.02  1.034e-18 1.413e-18 1.810e-18
314.23  9.645e-19 1.285e-18 1.710e-18
314.45  9.105e-19 1.177e-18 1.618e-18
